year,month,avg_daily_ED_visit,Daily Mean PM10 Concentration,Daily Mean PM2.5 Concentration,Daily Max 1-hour NO2 Concentration,Daily Max 1-hour SO2 Concentration,Daily Max 8-hour CO Concentration,Daily Max 8-hour Ozone Concentration,Daily Mean Pb Concentration
2013,4,32.68,21.818791946308725,7.857170731707308,11.722549019607843,8.211904761904751,0.4647727272727275,0.04474848116646402,0.04706666666666667
2013,5,33.13,23.314878892733564,8.006967984934079,12.49918699186992,8.564052287581696,0.48611111111111094,0.04350586854460084,0.042875
2013,6,28.74,26.536585365853657,8.643490304709136,11.600000000000001,7.811073825503352,0.4135135135135137,0.0422490974729241,0.11792857142857142
2013,7,25.63,28.045936395759718,10.668956289027658,11.332520325203252,5.510967741935486,0.41734104046242737,0.0452074592074591,0.09006666666666667
2013,8,31.52,34.1747572815534,10.415851449275372,13.093277310924366,5.482084690553747,0.590860215053764,0.04354025670945146,0.1658
2013,9,41.52,35.29109589041096,9.078199052132698,11.825252525252536,9.519333333333336,0.6078212290502792,0.0411111111111111,0.06433333333333334
2013,10,43.67,26.88961038961039,6.764875239923211,12.493220338983052,6.075510204081629,0.7664804469273747,0.029669300225733625,0.03711764705882353
2013,11,30.97,24.71186440677966,9.479455909943706,14.668333333333338,5.071582733812949,0.5746987951807231,0.022310344827586214,0.035
2013,12,29.27,23.230508474576272,13.818849557522137,16.289344262295085,2.467637540453077,0.5241935483870972,0.02305,0.04607142857142858
2014,1,25.87,18.426621160409557,8.61830845771143,16.290090090090096,4.2072368421052575,0.2735632183908044,0.028714285714285716,0.01606666666666667
2014,2,25.71,21.718861209964412,13.478265412748199,18.45225225225225,3.439051094890511,0.3036144578313252,0.03496428571428572,0.038733333333333335
2014,3,27.61,25.87748344370861,13.258545797922586,14.271929824561406,7.957615894039728,0.2806818181818182,0.03916393442622951,0.08426666666666667
2014,4,33.4,25.441176470588236,10.247081339712912,11.860952380952375,9.379999999999999,0.2643678160919538,0.044664785553047204,0.045333333333333344
2014,5,32.9,30.09240924092409,8.195396669931426,12.058474576271193,7.98317152103559,0.25454545454545446,0.04741240478781276,0.04735714285714286
2014,6,29.1,24.302721088435373,7.443959390862932,10.218333333333337,9.644444444444437,0.23536585365853643,0.04433599088838259,0.03909090909090909
2014,7,28.87,32.55172413793103,9.169578017664383,11.072477064220179,7.492758620689651,0.25955056179775265,0.037364653243847926,0.08635714285714287
2014,8,49.81,30.963087248322147,10.739355468750002,10.759349593495934,7.230033003300328,0.3076923076923077,0.0384922048997773,0.07373333333333333
2014,9,57.03,25.76065573770492,8.240345528455268,12.049152542372877,11.51342281879195,0.3255813953488372,0.03643099547511313,0.09361538461538463
2014,10,38.45,27.23859649122807,6.765740740740743,13.252631578947378,5.540728476821189,0.341860465116279,0.029341714285714294,0.1131333333333333
2014,11,29.53,25.76094276094276,9.357675906183367,12.622500000000004,8.689189189189184,0.27701149425287347,0.025366666666666662,0.06226666666666667
2014,12,36.32,22.203761755485893,13.464917395529648,12.737931034482761,4.5161290322580685,0.28202247191011237,0.018150000000000006,0.10699999999999998
2015,1,27.55,20.336734693877553,10.883622350674393,16.319834710743798,4.085113268608416,0.3569767441860465,0.025177419354838703,0.031
2015,2,29.29,24.846715328467152,12.519595314163997,15.99464285714286,4.204316546762589,0.32933333333333326,0.034482142857142864,0.014461538461538467
2015,3,35.52,26.48936170212766,11.620353159851307,16.165853658536587,6.020064724919095,0.31363636363636344,0.03951612903225807,0.05047058823529412
2015,4,36.87,31.81063122923588,9.75062680810028,15.65555555555555,6.297315436241612,0.3058139534883719,0.044900558659217785,0.06906666666666667
2015,5,42.19,24.3953488372093,8.068557213930347,10.099166666666664,7.120064724919089,0.24333333333333304,0.04224222222222217,0.04273333333333334
2015,6,29.1,23.686206896551724,9.052462526766595,9.653448275862072,4.889297658862881,0.2607142857142856,0.04383805209513017,0.04113333333333334
2015,7,27.61,25.863799283154123,10.35213930348259,9.420491803278688,3.169407894736843,0.29204545454545444,0.03954199328107496,0.051000000000000004
2015,8,29.94,27.322033898305083,7.093517635843651,9.643548387096772,2.7141935483870974,0.26739130434782604,0.03622065217391311,0.07037500000000001
