"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/16/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/18/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/19/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/21/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/22/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/23/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/24/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/25/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/28/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/29/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/30/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/01/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/02/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/03/2018","AQS","191130040","1","0.2","ppm","2","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/04/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/05/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/06/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/07/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/08/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/09/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/10/2018","AQS","191130040","1","0.2","ppm","2","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/11/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/12/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/13/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/14/2018","AQS","191130040","1","0.2","ppm","2","Public Health","4","17.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/16/2018","AQS","191130040","1","0.2","ppm","2","Public Health","16","67.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/17/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/18/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/19/2018","AQS","191130040","1","0.3","ppm","3","Public Health","16","67.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/20/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/21/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/22/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/23/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/24/2018","AQS","191130040","1","0.3","ppm","3","Public Health","15","63.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/25/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/26/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/27/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/28/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/29/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"04/30/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/01/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/02/2018","AQS","191130040","1","0.2","ppm","2","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/03/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/04/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/05/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/06/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/07/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/08/2018","AQS","191130040","1","0.3","ppm","3","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/09/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/10/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/11/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/12/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/13/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/14/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/15/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/16/2018","AQS","191130040","1","0.4","ppm","5","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/17/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/18/2018","AQS","191130040","1","0.2","ppm","2","Public Health","12","50.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/19/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/20/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/21/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/22/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/23/2018","AQS","191130040","1","0.3","ppm","3","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/24/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/25/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/26/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/27/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/28/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/29/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/30/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"05/31/2018","AQS","191130040","1","0.4","ppm","5","Public Health","17","71.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"06/01/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
