"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/05/2013","AQS","190170011","1","0.034","ppm","31","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/06/2013","AQS","190170011","1","0.036","ppm","33","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/07/2013","AQS","190170011","1","0.037","ppm","34","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/08/2013","AQS","190170011","1","0.045","ppm","42","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/09/2013","AQS","190170011","1","0.051","ppm","47","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/10/2013","AQS","190170011","1","0.048","ppm","44","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/11/2013","AQS","190170011","1","0.057","ppm","58","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/12/2013","AQS","190170011","1","0.044","ppm","41","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/13/2013","AQS","190170011","1","0.037","ppm","34","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/14/2013","AQS","190170011","1","0.044","ppm","41","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/15/2013","AQS","190170011","1","0.04","ppm","37","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/16/2013","AQS","190170011","1","0.044","ppm","41","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/17/2013","AQS","190170011","1","0.047","ppm","44","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/18/2013","AQS","190170011","1","0.046","ppm","43","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/19/2013","AQS","190170011","1","0.055","ppm","51","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
